,nom,num_rodal,actuacion,area_afectada,any_o_periodicitat,any_programat
0,MAS VILLARET,17,Tallada de selecció,16.14,2040,2040
1,MAS VILLARET,20,Reforestació per plantació,2.2,2040,2040
2,MAS VILLARET,20,Tallada final,2.2,2039,2039
3,MAS VILLARET,23,Aprofitament de llenya per consum propi,0.51,3,2039
4,MAS VILLARET,24,Reforestació per plantació,2.04,2038,2038
5,MAS VILLARET,24,Tallada final,2.04,2038,2038
6,MAS VILLARET,25,Tallada de manteniment d'infraestructures i/o elements singulars,0.7,3,2039
7,MAS VILLARET,28,Aprofitament de llenya per consum propi,6.51,3,2039
8,MAS VILLARET,29,Aprofitament de llenya per consum propi,1.61,3,2039
9,MAS VILLARET,30,Aprofitament de llenya per consum propi,13.43,3,2039
10,MAS VILLARET,33,Reforestació per plantació,0.77,2039,2039
11,MAS VILLARET,33,Tallada final,0.77,2039,2039
