,nom,num_rodal,actuacion,area_afectada,any_o_periodicitat,any_programat
0,CAN BARRICÓ I CAN ESTEGALELLA,1,Aprofitament de llenya per consum propi,20.03,1,2022
1,CAN BARRICÓ I CAN ESTEGALELLA,1,Aprofitament de llenya per consum propi,20.03,1,2023
2,CAN BARRICÓ I CAN ESTEGALELLA,1,Aprofitament de llenya per consum propi,20.03,1,2024
3,CAN BARRICÓ I CAN ESTEGALELLA,1,Aprofitament de llenya per consum propi,20.03,1,2025
4,CAN BARRICÓ I CAN ESTEGALELLA,1,Aprofitament de llenya per consum propi,20.03,1,2026
5,CAN BARRICÓ I CAN ESTEGALELLA,1,Aprofitament de llenya per consum propi,20.03,1,2027
6,CAN BARRICÓ I CAN ESTEGALELLA,1,Aprofitament de llenya per consum propi,20.03,1,2028
7,CAN BARRICÓ I CAN ESTEGALELLA,1,Aprofitament de llenya per consum propi,20.03,1,2029
8,CAN BARRICÓ I CAN ESTEGALELLA,1,Aprofitament de llenya per consum propi,20.03,1,2030
9,CAN BARRICÓ I CAN ESTEGALELLA,1,Tallada de manteniment d'infraestructures i/o elements singulars,1.8,5,2022
10,CAN BARRICÓ I CAN ESTEGALELLA,1,Tallada de manteniment d'infraestructures i/o elements singulars,1.8,5,2027
11,CAN BARRICÓ I CAN ESTEGALELLA,10,Aclarida baixa,17.29,2023,2023
12,CAN BARRICÓ I CAN ESTEGALELLA,10,Aprofitament de llenya per consum propi,17.29,1,2022
13,CAN BARRICÓ I CAN ESTEGALELLA,10,Aprofitament de llenya per consum propi,17.29,1,2023
14,CAN BARRICÓ I CAN ESTEGALELLA,10,Aprofitament de llenya per consum propi,17.29,1,2024
15,CAN BARRICÓ I CAN ESTEGALELLA,10,Aprofitament de llenya per consum propi,17.29,1,2025
16,CAN BARRICÓ I CAN ESTEGALELLA,10,Aprofitament de llenya per consum propi,17.29,1,2026
17,CAN BARRICÓ I CAN ESTEGALELLA,10,Aprofitament de llenya per consum propi,17.29,1,2027
18,CAN BARRICÓ I CAN ESTEGALELLA,10,Aprofitament de llenya per consum propi,17.29,1,2028
19,CAN BARRICÓ I CAN ESTEGALELLA,10,Aprofitament de llenya per consum propi,17.29,1,2029
20,CAN BARRICÓ I CAN ESTEGALELLA,10,Aprofitament de llenya per consum propi,17.29,1,2030
21,CAN BARRICÓ I CAN ESTEGALELLA,10,Tallada de manteniment d'infraestructures i/o elements singulars,1.5,5,2022
22,CAN BARRICÓ I CAN ESTEGALELLA,10,Tallada de manteniment d'infraestructures i/o elements singulars,1.5,5,2027
23,CAN BARRICÓ I CAN ESTEGALELLA,2,Aclarida baixa,15.52,2022,2022
24,CAN BARRICÓ I CAN ESTEGALELLA,2,Aprofitament de llenya per consum propi,15.52,1,2022
25,CAN BARRICÓ I CAN ESTEGALELLA,2,Aprofitament de llenya per consum propi,15.52,1,2023
26,CAN BARRICÓ I CAN ESTEGALELLA,2,Aprofitament de llenya per consum propi,15.52,1,2024
27,CAN BARRICÓ I CAN ESTEGALELLA,2,Aprofitament de llenya per consum propi,15.52,1,2025
28,CAN BARRICÓ I CAN ESTEGALELLA,2,Aprofitament de llenya per consum propi,15.52,1,2026
29,CAN BARRICÓ I CAN ESTEGALELLA,2,Aprofitament de llenya per consum propi,15.52,1,2027
30,CAN BARRICÓ I CAN ESTEGALELLA,2,Aprofitament de llenya per consum propi,15.52,1,2028
31,CAN BARRICÓ I CAN ESTEGALELLA,2,Aprofitament de llenya per consum propi,15.52,1,2029
32,CAN BARRICÓ I CAN ESTEGALELLA,2,Aprofitament de llenya per consum propi,15.52,1,2030
33,CAN BARRICÓ I CAN ESTEGALELLA,2,Tallada de manteniment d'infraestructures i/o elements singulars,0.8,5,2022
34,CAN BARRICÓ I CAN ESTEGALELLA,2,Tallada de manteniment d'infraestructures i/o elements singulars,0.8,5,2027
35,CAN BARRICÓ I CAN ESTEGALELLA,3a,Aprofitament de llenya per consum propi,2.1,1,2022
36,CAN BARRICÓ I CAN ESTEGALELLA,3a,Aprofitament de llenya per consum propi,2.1,1,2023
37,CAN BARRICÓ I CAN ESTEGALELLA,3a,Aprofitament de llenya per consum propi,2.1,1,2024
38,CAN BARRICÓ I CAN ESTEGALELLA,3a,Aprofitament de llenya per consum propi,2.1,1,2025
39,CAN BARRICÓ I CAN ESTEGALELLA,3a,Aprofitament de llenya per consum propi,2.1,1,2026
40,CAN BARRICÓ I CAN ESTEGALELLA,3a,Aprofitament de llenya per consum propi,2.1,1,2027
41,CAN BARRICÓ I CAN ESTEGALELLA,3a,Aprofitament de llenya per consum propi,2.1,1,2028
42,CAN BARRICÓ I CAN ESTEGALELLA,3a,Aprofitament de llenya per consum propi,2.1,1,2029
43,CAN BARRICÓ I CAN ESTEGALELLA,3a,Aprofitament de llenya per consum propi,2.1,1,2030
44,CAN BARRICÓ I CAN ESTEGALELLA,3a,Tallada de manteniment d'infraestructures i/o elements singulars,0.5,5,2022
45,CAN BARRICÓ I CAN ESTEGALELLA,3a,Tallada de manteniment d'infraestructures i/o elements singulars,0.5,5,2027
46,CAN BARRICÓ I CAN ESTEGALELLA,4,Aclarida baixa,12.11,2022,2022
47,CAN BARRICÓ I CAN ESTEGALELLA,4,Aprofitament de llenya per consum propi,12.11,1,2022
48,CAN BARRICÓ I CAN ESTEGALELLA,4,Aprofitament de llenya per consum propi,12.11,1,2023
49,CAN BARRICÓ I CAN ESTEGALELLA,4,Aprofitament de llenya per consum propi,12.11,1,2024
50,CAN BARRICÓ I CAN ESTEGALELLA,4,Aprofitament de llenya per consum propi,12.11,1,2025
51,CAN BARRICÓ I CAN ESTEGALELLA,4,Aprofitament de llenya per consum propi,12.11,1,2026
52,CAN BARRICÓ I CAN ESTEGALELLA,4,Aprofitament de llenya per consum propi,12.11,1,2027
53,CAN BARRICÓ I CAN ESTEGALELLA,4,Aprofitament de llenya per consum propi,12.11,1,2028
54,CAN BARRICÓ I CAN ESTEGALELLA,4,Aprofitament de llenya per consum propi,12.11,1,2029
55,CAN BARRICÓ I CAN ESTEGALELLA,4,Aprofitament de llenya per consum propi,12.11,1,2030
56,CAN BARRICÓ I CAN ESTEGALELLA,4,Tallada de manteniment d'infraestructures i/o elements singulars,0.9,5,2022
57,CAN BARRICÓ I CAN ESTEGALELLA,4,Tallada de manteniment d'infraestructures i/o elements singulars,0.9,5,2027
58,CAN BARRICÓ I CAN ESTEGALELLA,5,Aclarida baixa,12.19,2025,2025
59,CAN BARRICÓ I CAN ESTEGALELLA,5,Aprofitament de llenya per consum propi,12.19,1,2022
60,CAN BARRICÓ I CAN ESTEGALELLA,5,Aprofitament de llenya per consum propi,12.19,1,2023
61,CAN BARRICÓ I CAN ESTEGALELLA,5,Aprofitament de llenya per consum propi,12.19,1,2024
62,CAN BARRICÓ I CAN ESTEGALELLA,5,Aprofitament de llenya per consum propi,12.19,1,2025
63,CAN BARRICÓ I CAN ESTEGALELLA,5,Aprofitament de llenya per consum propi,12.19,1,2026
64,CAN BARRICÓ I CAN ESTEGALELLA,5,Aprofitament de llenya per consum propi,12.19,1,2027
65,CAN BARRICÓ I CAN ESTEGALELLA,5,Aprofitament de llenya per consum propi,12.19,1,2028
66,CAN BARRICÓ I CAN ESTEGALELLA,5,Aprofitament de llenya per consum propi,12.19,1,2029
67,CAN BARRICÓ I CAN ESTEGALELLA,5,Aprofitament de llenya per consum propi,12.19,1,2030
68,CAN BARRICÓ I CAN ESTEGALELLA,5,Tallada de manteniment d'infraestructures i/o elements singulars,0.5,5,2022
69,CAN BARRICÓ I CAN ESTEGALELLA,5,Tallada de manteniment d'infraestructures i/o elements singulars,0.5,5,2027
70,CAN BARRICÓ I CAN ESTEGALELLA,6a,Aclarida baixa,47.22,2024,2024
71,CAN BARRICÓ I CAN ESTEGALELLA,6a,Aprofitament de llenya per consum propi,47.22,1,2022
72,CAN BARRICÓ I CAN ESTEGALELLA,6a,Aprofitament de llenya per consum propi,47.22,1,2023
73,CAN BARRICÓ I CAN ESTEGALELLA,6a,Aprofitament de llenya per consum propi,47.22,1,2024
74,CAN BARRICÓ I CAN ESTEGALELLA,6a,Aprofitament de llenya per consum propi,47.22,1,2025
75,CAN BARRICÓ I CAN ESTEGALELLA,6a,Aprofitament de llenya per consum propi,47.22,1,2026
76,CAN BARRICÓ I CAN ESTEGALELLA,6a,Aprofitament de llenya per consum propi,47.22,1,2027
77,CAN BARRICÓ I CAN ESTEGALELLA,6a,Aprofitament de llenya per consum propi,47.22,1,2028
78,CAN BARRICÓ I CAN ESTEGALELLA,6a,Aprofitament de llenya per consum propi,47.22,1,2029
79,CAN BARRICÓ I CAN ESTEGALELLA,6a,Aprofitament de llenya per consum propi,47.22,1,2030
80,CAN BARRICÓ I CAN ESTEGALELLA,6a,Tallada de manteniment d'infraestructures i/o elements singulars,2.1,5,2022
81,CAN BARRICÓ I CAN ESTEGALELLA,6a,Tallada de manteniment d'infraestructures i/o elements singulars,2.1,5,2027
82,CAN BARRICÓ I CAN ESTEGALELLA,6b,Aclarida baixa,36.77,2030,2030
83,CAN BARRICÓ I CAN ESTEGALELLA,6b,Aprofitament de llenya per consum propi,36.77,1,2022
84,CAN BARRICÓ I CAN ESTEGALELLA,6b,Aprofitament de llenya per consum propi,36.77,1,2023
85,CAN BARRICÓ I CAN ESTEGALELLA,6b,Aprofitament de llenya per consum propi,36.77,1,2024
86,CAN BARRICÓ I CAN ESTEGALELLA,6b,Aprofitament de llenya per consum propi,36.77,1,2025
87,CAN BARRICÓ I CAN ESTEGALELLA,6b,Aprofitament de llenya per consum propi,36.77,1,2026
88,CAN BARRICÓ I CAN ESTEGALELLA,6b,Aprofitament de llenya per consum propi,36.77,1,2027
89,CAN BARRICÓ I CAN ESTEGALELLA,6b,Aprofitament de llenya per consum propi,36.77,1,2028
90,CAN BARRICÓ I CAN ESTEGALELLA,6b,Aprofitament de llenya per consum propi,36.77,1,2029
91,CAN BARRICÓ I CAN ESTEGALELLA,6b,Aprofitament de llenya per consum propi,36.77,1,2030
92,CAN BARRICÓ I CAN ESTEGALELLA,6b,Tallada de manteniment d'infraestructures i/o elements singulars,3.0,5,2022
93,CAN BARRICÓ I CAN ESTEGALELLA,6b,Tallada de manteniment d'infraestructures i/o elements singulars,3.0,5,2027
94,CAN BARRICÓ I CAN ESTEGALELLA,6c,Aclarida baixa,33.69,2021,2021
95,CAN BARRICÓ I CAN ESTEGALELLA,6c,Aprofitament de llenya per consum propi,33.69,1,2022
96,CAN BARRICÓ I CAN ESTEGALELLA,6c,Aprofitament de llenya per consum propi,33.69,1,2023
97,CAN BARRICÓ I CAN ESTEGALELLA,6c,Aprofitament de llenya per consum propi,33.69,1,2024
98,CAN BARRICÓ I CAN ESTEGALELLA,6c,Aprofitament de llenya per consum propi,33.69,1,2025
99,CAN BARRICÓ I CAN ESTEGALELLA,6c,Aprofitament de llenya per consum propi,33.69,1,2026
100,CAN BARRICÓ I CAN ESTEGALELLA,6c,Aprofitament de llenya per consum propi,33.69,1,2027
101,CAN BARRICÓ I CAN ESTEGALELLA,6c,Aprofitament de llenya per consum propi,33.69,1,2028
102,CAN BARRICÓ I CAN ESTEGALELLA,6c,Aprofitament de llenya per consum propi,33.69,1,2029
103,CAN BARRICÓ I CAN ESTEGALELLA,6c,Aprofitament de llenya per consum propi,33.69,1,2030
104,CAN BARRICÓ I CAN ESTEGALELLA,6c,Tallada de manteniment d'infraestructures i/o elements singulars,3.0,5,2022
105,CAN BARRICÓ I CAN ESTEGALELLA,6c,Tallada de manteniment d'infraestructures i/o elements singulars,3.0,5,2027
106,CAN BARRICÓ I CAN ESTEGALELLA,7,Aclarida baixa,12.69,2022,2022
107,CAN BARRICÓ I CAN ESTEGALELLA,7,Aprofitament de llenya per consum propi,12.69,1,2022
108,CAN BARRICÓ I CAN ESTEGALELLA,7,Aprofitament de llenya per consum propi,12.69,1,2023
109,CAN BARRICÓ I CAN ESTEGALELLA,7,Aprofitament de llenya per consum propi,12.69,1,2024
110,CAN BARRICÓ I CAN ESTEGALELLA,7,Aprofitament de llenya per consum propi,12.69,1,2025
111,CAN BARRICÓ I CAN ESTEGALELLA,7,Aprofitament de llenya per consum propi,12.69,1,2026
112,CAN BARRICÓ I CAN ESTEGALELLA,7,Aprofitament de llenya per consum propi,12.69,1,2027
113,CAN BARRICÓ I CAN ESTEGALELLA,7,Aprofitament de llenya per consum propi,12.69,1,2028
114,CAN BARRICÓ I CAN ESTEGALELLA,7,Aprofitament de llenya per consum propi,12.69,1,2029
115,CAN BARRICÓ I CAN ESTEGALELLA,7,Aprofitament de llenya per consum propi,12.69,1,2030
116,CAN BARRICÓ I CAN ESTEGALELLA,7,Tallada de manteniment d'infraestructures i/o elements singulars,1.0,5,2022
117,CAN BARRICÓ I CAN ESTEGALELLA,7,Tallada de manteniment d'infraestructures i/o elements singulars,1.0,5,2027
118,CAN BARRICÓ I CAN ESTEGALELLA,8,Aclarida baixa,23.03,2024,2024
119,CAN BARRICÓ I CAN ESTEGALELLA,8,Aprofitament de llenya per consum propi,23.03,1,2022
120,CAN BARRICÓ I CAN ESTEGALELLA,8,Aprofitament de llenya per consum propi,23.03,1,2023
121,CAN BARRICÓ I CAN ESTEGALELLA,8,Aprofitament de llenya per consum propi,23.03,1,2024
122,CAN BARRICÓ I CAN ESTEGALELLA,8,Aprofitament de llenya per consum propi,23.03,1,2025
123,CAN BARRICÓ I CAN ESTEGALELLA,8,Aprofitament de llenya per consum propi,23.03,1,2026
124,CAN BARRICÓ I CAN ESTEGALELLA,8,Aprofitament de llenya per consum propi,23.03,1,2027
125,CAN BARRICÓ I CAN ESTEGALELLA,8,Aprofitament de llenya per consum propi,23.03,1,2028
126,CAN BARRICÓ I CAN ESTEGALELLA,8,Aprofitament de llenya per consum propi,23.03,1,2029
127,CAN BARRICÓ I CAN ESTEGALELLA,8,Aprofitament de llenya per consum propi,23.03,1,2030
128,CAN BARRICÓ I CAN ESTEGALELLA,8,Tallada de manteniment d'infraestructures i/o elements singulars,2.0,5,2022
129,CAN BARRICÓ I CAN ESTEGALELLA,8,Tallada de manteniment d'infraestructures i/o elements singulars,2.0,5,2027
130,CAN BARRICÓ I CAN ESTEGALELLA,9,Aprofitament de llenya per consum propi,9.55,1,2022
131,CAN BARRICÓ I CAN ESTEGALELLA,9,Aprofitament de llenya per consum propi,9.55,1,2023
132,CAN BARRICÓ I CAN ESTEGALELLA,9,Aprofitament de llenya per consum propi,9.55,1,2024
133,CAN BARRICÓ I CAN ESTEGALELLA,9,Aprofitament de llenya per consum propi,9.55,1,2025
134,CAN BARRICÓ I CAN ESTEGALELLA,9,Aprofitament de llenya per consum propi,9.55,1,2026
