,nom,num_rodal,actuacion,area_afectada,any_o_periodicitat,any_programat
0,CAN BARRICÓ I CAN ESTEGALELLA,1,Aprofitament de llenya per consum propi,20.03,1,2021
1,CAN BARRICÓ I CAN ESTEGALELLA,1,Aprofitament de llenya per consum propi,20.03,1,2022
2,CAN BARRICÓ I CAN ESTEGALELLA,1,Aprofitament de llenya per consum propi,20.03,1,2023
3,CAN BARRICÓ I CAN ESTEGALELLA,1,Aprofitament de llenya per consum propi,20.03,1,2024
4,CAN BARRICÓ I CAN ESTEGALELLA,1,Aprofitament de llenya per consum propi,20.03,1,2025
5,CAN BARRICÓ I CAN ESTEGALELLA,1,Aprofitament de llenya per consum propi,20.03,1,2026
6,CAN BARRICÓ I CAN ESTEGALELLA,1,Aprofitament de llenya per consum propi,20.03,1,2027
7,CAN BARRICÓ I CAN ESTEGALELLA,1,Aprofitament de llenya per consum propi,20.03,1,2028
8,CAN BARRICÓ I CAN ESTEGALELLA,1,Aprofitament de llenya per consum propi,20.03,1,2029
9,CAN BARRICÓ I CAN ESTEGALELLA,1,Aprofitament de llenya per consum propi,20.03,1,2030
10,CAN BARRICÓ I CAN ESTEGALELLA,1,Tallada de manteniment d'infraestructures i/o elements singulars,1.8,5,2021
11,CAN BARRICÓ I CAN ESTEGALELLA,1,Tallada de manteniment d'infraestructures i/o elements singulars,1.8,5,2026
12,CAN BARRICÓ I CAN ESTEGALELLA,10,Aclarida baixa,17.29,2023,2023
13,CAN BARRICÓ I CAN ESTEGALELLA,10,Aprofitament de llenya per consum propi,17.29,1,2021
14,CAN BARRICÓ I CAN ESTEGALELLA,10,Aprofitament de llenya per consum propi,17.29,1,2022
15,CAN BARRICÓ I CAN ESTEGALELLA,10,Aprofitament de llenya per consum propi,17.29,1,2023
16,CAN BARRICÓ I CAN ESTEGALELLA,10,Aprofitament de llenya per consum propi,17.29,1,2024
17,CAN BARRICÓ I CAN ESTEGALELLA,10,Aprofitament de llenya per consum propi,17.29,1,2025
18,CAN BARRICÓ I CAN ESTEGALELLA,10,Aprofitament de llenya per consum propi,17.29,1,2026
19,CAN BARRICÓ I CAN ESTEGALELLA,10,Aprofitament de llenya per consum propi,17.29,1,2027
20,CAN BARRICÓ I CAN ESTEGALELLA,10,Aprofitament de llenya per consum propi,17.29,1,2028
21,CAN BARRICÓ I CAN ESTEGALELLA,10,Aprofitament de llenya per consum propi,17.29,1,2029
22,CAN BARRICÓ I CAN ESTEGALELLA,10,Aprofitament de llenya per consum propi,17.29,1,2030
23,CAN BARRICÓ I CAN ESTEGALELLA,10,Tallada de manteniment d'infraestructures i/o elements singulars,1.5,5,2021
24,CAN BARRICÓ I CAN ESTEGALELLA,10,Tallada de manteniment d'infraestructures i/o elements singulars,1.5,5,2026
25,CAN BARRICÓ I CAN ESTEGALELLA,2,Aclarida baixa,15.52,2022,2022
26,CAN BARRICÓ I CAN ESTEGALELLA,2,Aprofitament de llenya per consum propi,15.52,1,2021
27,CAN BARRICÓ I CAN ESTEGALELLA,2,Aprofitament de llenya per consum propi,15.52,1,2022
28,CAN BARRICÓ I CAN ESTEGALELLA,2,Aprofitament de llenya per consum propi,15.52,1,2023
29,CAN BARRICÓ I CAN ESTEGALELLA,2,Aprofitament de llenya per consum propi,15.52,1,2024
30,CAN BARRICÓ I CAN ESTEGALELLA,2,Aprofitament de llenya per consum propi,15.52,1,2025
31,CAN BARRICÓ I CAN ESTEGALELLA,2,Aprofitament de llenya per consum propi,15.52,1,2026
32,CAN BARRICÓ I CAN ESTEGALELLA,2,Aprofitament de llenya per consum propi,15.52,1,2027
33,CAN BARRICÓ I CAN ESTEGALELLA,2,Aprofitament de llenya per consum propi,15.52,1,2028
34,CAN BARRICÓ I CAN ESTEGALELLA,2,Aprofitament de llenya per consum propi,15.52,1,2029
35,CAN BARRICÓ I CAN ESTEGALELLA,2,Aprofitament de llenya per consum propi,15.52,1,2030
36,CAN BARRICÓ I CAN ESTEGALELLA,2,Tallada de manteniment d'infraestructures i/o elements singulars,0.8,5,2021
37,CAN BARRICÓ I CAN ESTEGALELLA,2,Tallada de manteniment d'infraestructures i/o elements singulars,0.8,5,2026
38,CAN BARRICÓ I CAN ESTEGALELLA,3a,Aprofitament de llenya per consum propi,2.1,1,2021
39,CAN BARRICÓ I CAN ESTEGALELLA,3a,Aprofitament de llenya per consum propi,2.1,1,2022
40,CAN BARRICÓ I CAN ESTEGALELLA,3a,Aprofitament de llenya per consum propi,2.1,1,2023
41,CAN BARRICÓ I CAN ESTEGALELLA,3a,Aprofitament de llenya per consum propi,2.1,1,2024
42,CAN BARRICÓ I CAN ESTEGALELLA,3a,Aprofitament de llenya per consum propi,2.1,1,2025
43,CAN BARRICÓ I CAN ESTEGALELLA,3a,Aprofitament de llenya per consum propi,2.1,1,2026
44,CAN BARRICÓ I CAN ESTEGALELLA,3a,Aprofitament de llenya per consum propi,2.1,1,2027
45,CAN BARRICÓ I CAN ESTEGALELLA,3a,Aprofitament de llenya per consum propi,2.1,1,2028
46,CAN BARRICÓ I CAN ESTEGALELLA,3a,Aprofitament de llenya per consum propi,2.1,1,2029
47,CAN BARRICÓ I CAN ESTEGALELLA,3a,Aprofitament de llenya per consum propi,2.1,1,2030
48,CAN BARRICÓ I CAN ESTEGALELLA,3a,Tallada de manteniment d'infraestructures i/o elements singulars,0.5,5,2021
49,CAN BARRICÓ I CAN ESTEGALELLA,3a,Tallada de manteniment d'infraestructures i/o elements singulars,0.5,5,2026
50,CAN BARRICÓ I CAN ESTEGALELLA,4,Aclarida baixa,12.11,2022,2022
51,CAN BARRICÓ I CAN ESTEGALELLA,4,Aprofitament de llenya per consum propi,12.11,1,2021
52,CAN BARRICÓ I CAN ESTEGALELLA,4,Aprofitament de llenya per consum propi,12.11,1,2022
53,CAN BARRICÓ I CAN ESTEGALELLA,4,Aprofitament de llenya per consum propi,12.11,1,2023
54,CAN BARRICÓ I CAN ESTEGALELLA,4,Aprofitament de llenya per consum propi,12.11,1,2024
55,CAN BARRICÓ I CAN ESTEGALELLA,4,Aprofitament de llenya per consum propi,12.11,1,2025
56,CAN BARRICÓ I CAN ESTEGALELLA,4,Aprofitament de llenya per consum propi,12.11,1,2026
57,CAN BARRICÓ I CAN ESTEGALELLA,4,Aprofitament de llenya per consum propi,12.11,1,2027
58,CAN BARRICÓ I CAN ESTEGALELLA,4,Aprofitament de llenya per consum propi,12.11,1,2028
59,CAN BARRICÓ I CAN ESTEGALELLA,4,Aprofitament de llenya per consum propi,12.11,1,2029
60,CAN BARRICÓ I CAN ESTEGALELLA,4,Aprofitament de llenya per consum propi,12.11,1,2030
61,CAN BARRICÓ I CAN ESTEGALELLA,4,Tallada de manteniment d'infraestructures i/o elements singulars,0.9,5,2021
62,CAN BARRICÓ I CAN ESTEGALELLA,4,Tallada de manteniment d'infraestructures i/o elements singulars,0.9,5,2026
63,CAN BARRICÓ I CAN ESTEGALELLA,5,Aclarida baixa,12.19,2025,2025
64,CAN BARRICÓ I CAN ESTEGALELLA,5,Aprofitament de llenya per consum propi,12.19,1,2021
