,nom,num_rodal,actuacion,area_afectada,any_o_periodicitat,any_programat
0,LA TÀPIA,1,Aclarida baixa,16.03,2022,2022
1,LA TÀPIA,1,Aprofitament de llenya per consum propi,16.03,1,2022
2,LA TÀPIA,1,Aprofitament de llenya per consum propi,16.03,1,2023
3,LA TÀPIA,1,Aprofitament de llenya per consum propi,16.03,1,2024
4,LA TÀPIA,1,Aprofitament de llenya per consum propi,16.03,1,2025
5,LA TÀPIA,1,Tallada de manteniment d'infraestructures i/o elements singulars,3.5,5,2022
6,LA TÀPIA,2,Aclarida baixa,16.61,2022,2022
7,LA TÀPIA,2,Aprofitament de llenya per consum propi,16.61,1,2022
8,LA TÀPIA,2,Aprofitament de llenya per consum propi,16.61,1,2023
9,LA TÀPIA,2,Aprofitament de llenya per consum propi,16.61,1,2024
10,LA TÀPIA,2,Aprofitament de llenya per consum propi,16.61,1,2025
11,LA TÀPIA,2,Tallada de manteniment d'infraestructures i/o elements singulars,2.6,5,2022
12,LA TÀPIA,3,Aprofitament de llenya per consum propi,20.9,1,2022
13,LA TÀPIA,3,Aprofitament de llenya per consum propi,20.9,1,2023
14,LA TÀPIA,3,Aprofitament de llenya per consum propi,20.9,1,2024
15,LA TÀPIA,3,Aprofitament de llenya per consum propi,20.9,1,2025
16,LA TÀPIA,3,Tallada de manteniment d'infraestructures i/o elements singulars,1.5,5,2022
17,LA TÀPIA,4a,Aclarida baixa,4.46,2022,2022
18,LA TÀPIA,4a,Aprofitament de llenya per consum propi,4.46,1,2022
19,LA TÀPIA,4a,Aprofitament de llenya per consum propi,4.46,1,2023
20,LA TÀPIA,4a,Aprofitament de llenya per consum propi,4.46,1,2024
21,LA TÀPIA,4a,Aprofitament de llenya per consum propi,4.46,1,2025
22,LA TÀPIA,4a,Tallada de manteniment d'infraestructures i/o elements singulars,0.8,5,2022
23,LA TÀPIA,4b,Aprofitament de llenya per consum propi,3.96,1,2022
24,LA TÀPIA,4b,Aprofitament de llenya per consum propi,3.96,1,2023
25,LA TÀPIA,4b,Aprofitament de llenya per consum propi,3.96,1,2024
26,LA TÀPIA,4b,Aprofitament de llenya per consum propi,3.96,1,2025
27,LA TÀPIA,4b,Tallada de manteniment d'infraestructures i/o elements singulars,0.3,5,2022
28,LA TÀPIA,5,Aprofitament de llenya per consum propi,15.9,1,2022
29,LA TÀPIA,5,Aprofitament de llenya per consum propi,15.9,1,2023
30,LA TÀPIA,5,Aprofitament de llenya per consum propi,15.9,1,2024
31,LA TÀPIA,5,Aprofitament de llenya per consum propi,15.9,1,2025
32,LA TÀPIA,5,Tallada de manteniment d'infraestructures i/o elements singulars,2.2,5,2022
33,LA TÀPIA,7a,Recol·lecció tòfones,0.6,1,2022
34,LA TÀPIA,7a,Recol·lecció tòfones,0.6,1,2023
35,LA TÀPIA,7a,Recol·lecció tòfones,0.6,1,2024
36,LA TÀPIA,7a,Recol·lecció tòfones,0.6,1,2025
37,LA TÀPIA,7b,Aforestació per plantació,5.88,2022,2022
38,LA TÀPIA,7b,Recol·lecció tòfones,5.88,1,2022
39,LA TÀPIA,7b,Recol·lecció tòfones,5.88,1,2023
40,LA TÀPIA,7b,Recol·lecció tòfones,5.88,1,2024
41,LA TÀPIA,7b,Recol·lecció tòfones,5.88,1,2025
