,nom,num_rodal,actuacion,area_afectada,any_o_periodicitat,any_programat
0,EL SOLÀ,1,Aprofitament de llenya per consum propi,23.63,1,2022
1,EL SOLÀ,1,Aprofitament de llenya per consum propi,23.63,1,2023
2,EL SOLÀ,2,Aprofitament de llenya per consum propi,15.92,1,2022
3,EL SOLÀ,2,Aprofitament de llenya per consum propi,15.92,1,2023
4,EL SOLÀ,3,Aclarida baixa,4.85,2018,2018
5,EL SOLÀ,4,Aclarida baixa,6.51,2020,2020
6,EL SOLÀ,4,Tallada de manteniment d'infraestructures i/o elements singulars,1.38,2019,2019
7,EL SOLÀ,5,Aclarida baixa,15.17,2021,2021
8,EL SOLÀ,5,Aprofitament de llenya per consum propi,15.17,1,2022
9,EL SOLÀ,5,Aprofitament de llenya per consum propi,15.17,1,2023
10,EL SOLÀ,5,Tallada de manteniment d'infraestructures i/o elements singulars,1.94,2020,2020
11,EL SOLÀ,6,Aclarida baixa,23.46,2019,2019
12,EL SOLÀ,6,Aprofitament de llenya per consum propi,23.46,1,2022
13,EL SOLÀ,6,Aprofitament de llenya per consum propi,23.46,1,2023
14,EL SOLÀ,6,Tallada de manteniment d'infraestructures i/o elements singulars,2.34,2018,2018
15,EL SOLÀ,7,Aclarida baixa,11.54,2022,2022
16,EL SOLÀ,7,Aprofitament de llenya per consum propi,11.54,1,2022
17,EL SOLÀ,7,Aprofitament de llenya per consum propi,11.54,1,2023
18,EL SOLÀ,7,Tallada de manteniment d'infraestructures i/o elements singulars,0.57,2021,2021
19,EL SOLÀ,9,Aprofitament de llenya per consum propi,6.73,1,2022
20,EL SOLÀ,9,Aprofitament de llenya per consum propi,6.73,1,2023
